,title,type,metro_distance,square,price,floor,floors,district,station
152,合租·中远两湾城4居室-南卧,合租,459,16,3690,22,34,普陀区,中潭路
153,合租·莘城公寓4居室-南卧,合租,454,17,3090,2,4,闵行区,莘庄
154,合租·妙境家园3居室-南卧,合租,253,16,2730,6,6,浦东新区,川沙
155,合租·凯旋花苑3居室-南卧,合租,488,14,3790,5,33,徐汇区,上海体育馆
156,合租·三杨新村一街坊3居室-南卧,合租,900,13,2730,8,16,浦东新区,杨思
157,合租·燕宁苑3居室-南卧,合租,741,18,3690,14,16,普陀区,隆德路
158,合租·中远两湾城5居室-东南卧,合租,459,20,3490,3,33,普陀区,中潭路
159,合租·复星新苑4居室-南卧,合租,469,18,2760,6,6,宝山区,行知路
160,合租·同济新村3居室-南卧,合租,6,12,3090,6,6,杨浦区,同济大学
161,合租·嘉和花苑4居室-南卧,合租,437,16,2930,1,7,闵行区,莲花路
162,合租·三湘四季花城4居室-南卧,合租,546,17,2590,2,14,松江区,松江大学城
163,合租·三湘四季花城4居室-南卧,合租,546,17,2630,11,14,松江区,松江大学城
164,合租·绿地世纪城(一期)3居室-南卧,合租,588,20,4430,17,34,普陀区,曹杨路
165,合租·天台家园3居室-南卧,合租,755,19,3760,2,10,长宁区,威宁路
166,合租·凯旋一村2居室-南卧,合租,497,21,3960,4,6,长宁区,虹桥路
167,合租·证大家园(四期)3居室-南卧,合租,531,18,3090,4,10,浦东新区,杨高北路
168,合租·驰骋大楼3居室-西卧,合租,396,19,3560,14,26,黄浦区,西藏南路
169,合租·京都苑4居室-南卧,合租,480,15,3860,1,6,闵行区,七宝
170,合租·潍坊八村2居室-南卧,合租,323,15,3460,5,6,浦东新区,浦电路
171,合租·武宁路200弄3居室-南卧,合租,425,17,3290,6,7,普陀区,曹杨路
172,合租·三泾南宅3居室-南卧,合租,309,17,3530,5,7,长宁区,延安西路
173,合租·高境一村4居室-南卧,合租,381,15,2630,2,18,宝山区,殷高西路
174,合租·中环花苑3居室-南卧,合租,698,19,3290,18,18,普陀区,新村路
175,合租·菊园4居室-南卧,合租,350,15,5460,20,32,浦东新区,商城路
176,合租·水语人家南苑3居室-南卧,合租,356,16,1830,4,6,虹口区,闵瑞路
177,合租·闵浦一村3居室-南卧,合租,382,12,1930,5,6,闵行区,三鲁公路
178,合租·新城尚上城（商住）2居室-南卧,合租,266,21,1690,5,13,嘉定区,上海汽车城
179,合租·吴东小区2居室-南卧,合租,548,21,3990,6,6,长宁区,虹桥路
180,合租·锦城公寓(长宁)3居室-南卧,合租,528,14,3690,3,16,长宁区,虹桥路
181,合租·岭南苑(凌兆路99弄)4居室-南卧,合租,379,20,2630,6,6,浦东新区,凌兆新村
182,合租·凯旋公寓4居室-南卧,合租,610,19,4390,4,8,长宁区,虹桥路
183,合租·上大阳光乾静园3居室-东南卧,合租,328,23,2890,5,6,宝山区,上大路
184,合租·翔殷路505弄3居室-南卧,合租,264,16,2990,12,15,杨浦区,翔殷路
185,合租·交暨小区3居室-南卧,合租,588,24,3090,5,6,普陀区,新村路
186,合租·泰辰复兴苑3居室-南卧,合租,603,20,3290,2,6,嘉定区,金运路
187,合租·车站新村(普陀)4居室-南卧,合租,300,18,2590,6,6,普陀区,上海西
188,合租·高境一村3居室-南卧,合租,381,19,2830,6,6,宝山区,殷高西路
189,合租·高境一村4居室-南卧,合租,381,19,2790,11,18,宝山区,殷高西路
190,合租·博文家园4居室-南卧,合租,496,21,3430,5,6,浦东新区,高科西路
191,合租·张泾小区2居室-南卧,合租,724,17,2930,3,6,长宁区,上海动物园
192,合租·张江汤臣豪园(二期)4居室-南卧,合租,590,20,4490,3,16,浦东新区,金科路
193,合租·光鸿苑4居室-南卧,合租,975,16,3890,27,30,浦东新区,临沂新村
194,合租·阳光花城3居室-南卧,合租,164,15,3530,2,18,浦东新区,广兰路
195,合租·中福花苑3居室-南卧,合租,313,16,3790,8,19,黄浦区,南浦大桥
196,合租·浦发绿城永泰路1960弄3居室-南卧,合租,640,22,2260,2,6,浦东新区,浦三路
197,合租·卢湾都市花园5居室-南卧,合租,309,22,3990,1,19,黄浦区,鲁班路
198,合租·永久城市花园4居室-南卧,合租,775,15,2390,9,13,浦东新区,航津路
199,合租·三泾南宅4居室-南卧,合租,309,16,4390,2,7,长宁区,延安西路
200,合租·阳光花城4居室-南卧,合租,164,15,4290,13,19,浦东新区,广兰路
201,合租·紫欣公寓3居室-西南卧,合租,249,16,2690,10,27,闵行区,莘庄
202,合租·秀枫翠谷3居室-南卧,合租,414,14,2790,6,6,闵行区,星中路
203,合租·亭汇花苑4居室-南卧,合租,446,14,2890,6,6,松江区,九亭
204,合租·长虹小区3居室-南卧,合租,292,18,3590,6,6,长宁区,虹桥路
205,合租·同方锦城（C区）4居室-南卧,合租,283,16,3090,3,6,浦东新区,博兴路
206,合租·建德花园百合苑3居室-南卧,合租,520,17,2990,4,6,嘉定区,丰庄
207,合租·妙境家园4居室-南卧,合租,253,23,2360,6,6,浦东新区,川沙
208,合租·南洋新都3居室-南卧,合租,482,16,4490,6,14,长宁区,威宁路
209,合租·海富花园4居室-西北卧,合租,275,18,3490,18,21,浦东新区,蓝村路
210,合租·上海星港3居室-南卧,合租,245,15,3460,3,18,普陀区,枫桥路
211,合租·南方城3居室-南卧,合租,514,18,2890,1,8,闵行区,莲花路
212,合租·大华锦绣华城(十九街区)(公寓)6居室-南卧,合租,326,23,2790,6,6,浦东新区,下南路
213,合租·工农四村星源花苑3居室-南卧,合租,655,16,2790,5,6,杨浦区,市光路
214,合租·桃园公寓(川沙)4居室-南卧,合租,430,20,2290,1,6,浦东新区,川沙
215,合租·三泾南宅3居室-南卧,合租,309,17,3390,7,7,长宁区,延安西路
216,合租·锦江苑3居室-南卧,合租,790,17,2890,5,7,徐汇区,龙耀路
217,合租·证大家园(一期)4居室-南卧,合租,112,15,2730,1,6,浦东新区,杨高北路
218,合租·未名园4居室-南卧,合租,1314,17,2490,3,12,闵行区,外环路
219,合租·联通国际大厦3居室-北卧,合租,566,16,3630,8,30,静安区,上海火车
220,合租·创智坊(公寓)4居室-南卧,合租,211,17,3960,1,12,杨浦区,江湾体育场
221,合租·三航小区2居室-南卧,合租,237,16,3760,6,6,浦东新区,东昌路
222,合租·书香公寓4居室-南卧,合租,531,17,3690,5,15,杨浦区,同济大学
223,合租·东淮海公寓4居室-南卧,合租,220,16,5390,26,28,黄浦区,豫园
224,合租·燕宁苑4居室-南卧,合租,741,17,3430,12,18,普陀区,隆德路
225,合租·绿地世纪城(二期)3居室-北卧,合租,279,18,4030,27,33,普陀区,隆德路
226,合租·爱和大厦4居室-西卧,合租,403,15,3490,13,26,徐汇区,上海体育场
227,合租·华升新苑4居室-南卧,合租,366,15,3960,2,11,杨浦区,江浦路
228,合租·绿地天呈5居室-南卧,合租,896,17,1930,3,6,嘉定区,嘉定北
229,合租·金沙江小区4居室-南卧,合租,216,16,3460,2,11,普陀区,金沙江路
230,合租·白玉新村3居室-南卧,合租,405,18,3360,7,7,普陀区,曹杨路
231,合租·金谷园5居室-南卧,合租,290,16,3790,4,18,徐汇区,漕溪路
232,合租·和平花苑3居室-西北卧,合租,351,18,3230,29,34,杨浦区,鞍山新村
233,合租·新世纪花苑(三期)(浦东)4居室-南卧,合租,747,19,3090,5,6,浦东新区,长清路
234,合租·嘉和花苑4居室-南卧,合租,437,18,2930,11,11,闵行区,莲花路
235,合租·保利翡丽公馆3居室-南卧,合租,171,15,2330,1,16,松江区,泗泾
236,合租·沙田新苑4居室-南卧,合租,540,17,3490,20,30,普陀区,曹杨路
237,合租·金沙雅苑(三期)4居室-南卧,合租,879,15,3060,2,18,普陀区,祁连山南路
238,合租·黄山始信苑3居室-南卧,合租,597,19,2860,3,6,浦东新区,云山路
239,合租·上海知音苑4居室-南卧,合租,343,16,3760,3,15,普陀区,武宁路
240,合租·妙境家园3居室-南卧,合租,253,16,2630,1,6,浦东新区,川沙
241,合租·世纪之春花园4居室-南卧,合租,367,16,3790,12,13,长宁区,淞虹路
242,合租·宇泰景苑4居室-南卧,合租,385,17,3590,14,18,虹口区,临平路
243,合租·中福花苑3居室-南卧,合租,313,16,3790,9,19,黄浦区,南浦大桥
244,合租·美罗家园吉翔苑4居室-南卧,合租,820,17,1930,4,18,宝山区,美兰湖
245,合租·翔川家园4居室-南卧,合租,610,50,2860,6,6,浦东新区,川沙
246,合租·创世纪花园4居室-南卧,合租,391,16,4930,6,14,徐汇区,上海体育馆
247,合租·南文大厦3居室-南卧,合租,359,17,3990,18,27,黄浦区,老西门
248,合租·锦河苑4居室-南卧,合租,360,20,2790,1,6,浦东新区,五莲路
249,合租·春港丽园(公寓)3居室-南卧,合租,1165,17,3090,3,6,浦东新区,广兰路
250,合租·巴黎之春4居室-东卧,合租,542,17,2930,2,6,普陀区,上海西
251,合租·阳光花城4居室-南卧,合租,164,15,4230,1,19,浦东新区,广兰路
252,合租·荣成大厦4居室-南卧,合租,140,12,4760,28,30,浦东新区,浦东大道
253,合租·芳佳苑5居室-南卧,合租,155,26,2730,6,6,浦东新区,芳华路
254,合租·东方莱茵4居室-南卧,合租,406,19,4360,1,27,静安区,汉中路
255,合租·张江汤臣豪园(一期)(公寓)4居室-南卧,合租,119,15,3630,5,8,浦东新区,张江高科
